,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
0,SVM,0.8,0.1,0.01,89.1218872870249,94.73684210526316,40.298507462686565,17.169069462647446
1,SVM,0.8,0.15,0.01,84.92791612057667,100.0,14.17910447761194,15.858453473132371
2,SVM,0.8,0.2,0.01,88.46657929226737,96.0,35.82089552238806,22.673656618610746
3,SVM,0.8,0.25,0.01,87.68020969855833,97.61904761904762,30.597014925373134,25.950196592398427
4,SVM,0.8,0.3,0.01,87.68020969855833,100.0,29.850746268656717,30.668414154652687
5,SVM,0.8,0.4,0.01,92.92267365661861,96.51162790697674,61.940298507462686,44.82306684141547
6,SVM,0.8,0.1,0.03,89.51507208387942,96.55172413793103,41.791044776119406,19.65923984272608
7,SVM,0.8,0.15,0.03,89.51507208387942,98.21428571428571,41.04477611940298,24.639580602883356
8,SVM,0.8,0.2,0.03,89.25294888597641,98.14814814814815,39.55223880597015,24.115334207077325
9,SVM,0.8,0.25,0.03,87.1559633027523,100.0,26.865671641791046,25.68807339449541
10,SVM,0.8,0.3,0.03,86.89384010484928,100.0,25.37313432835821,29.882044560943644
11,SVM,0.8,0.4,0.03,93.70904325032765,96.73913043478261,66.41791044776119,47.706422018348626
12,SVM,0.8,0.1,0.05,90.56356487549148,95.58823529411765,48.507462686567166,23.06684141546527
13,SVM,0.8,0.15,0.05,89.51507208387942,96.55172413793103,41.791044776119406,24.246395806028833
14,SVM,0.8,0.2,0.05,86.63171690694627,100.0,23.880597014925375,20.969855832241155
15,SVM,0.8,0.25,0.05,87.1559633027523,100.0,26.865671641791046,25.68807339449541
16,SVM,0.8,0.3,0.05,88.9908256880734,100.0,37.3134328358209,31.84796854521625
17,SVM,0.8,0.4,0.05,93.44692005242464,97.72727272727273,64.17910447761194,47.05111402359109
18,SVM,0.8,0.1,0.08,89.64613368283094,96.61016949152543,42.53731343283582,20.838794233289647
19,SVM,0.8,0.15,0.08,89.77719528178244,98.27586206896552,42.53731343283582,25.163826998689384
20,SVM,0.8,0.2,0.08,85.5832241153342,100.0,17.91044776119403,19.921363040629096
21,SVM,0.8,0.25,0.08,90.03931847968545,100.0,43.28358208955224,29.61992136304063
22,SVM,0.8,0.3,0.08,87.81127129750983,100.0,30.597014925373134,30.799475753604195
23,SVM,0.8,0.4,0.08,93.84010484927916,100.0,64.92537313432835,48.23066841415465
24,SVM,0.8,0.1,0.1,90.69462647444298,95.65217391304348,49.25373134328358,23.32896461336828
25,SVM,0.8,0.15,0.1,88.33551769331586,100.0,33.582089552238806,21.756225425950195
26,SVM,0.8,0.2,0.1,87.1559633027523,100.0,26.865671641791046,21.62516382699869
27,SVM,0.8,0.25,0.1,88.46657929226737,100.0,34.32835820895522,27.391874180865006
