,PSNR,CPL,CS,SSIM,MSE,WD,KL,TSI,VAE,Hist_correlation,Hist_intersection,VIF
PSNR,1.0,-0.5475803455933873,0.6401085670725053,0.6249869811099585,0.254960296364205,-0.8251461139834277,0.0043600644290607594,-0.33720894828643433,-0.13465957701226144,0.6585117974438282,0.7095723143184824,0.6793097612032056
CPL,-0.5475803455933873,1.0,-0.5093645166079903,-0.36839865345820744,-0.1803592670339197,0.41256089174881966,0.003082997140011357,0.2018770185973444,0.2773978933364736,-0.17861291544337088,-0.27088968040361033,-0.49223728199099237
CS,0.6401085670725053,-0.5093645166079903,1.0,0.6823961772396416,0.020491715446540635,-0.5145602935996488,0.031203621139193775,-0.45178658732178867,0.20349157675412177,0.42612988734878476,0.5770831137132465,0.657104176119195
SSIM,0.6249869811099585,-0.36839865345820744,0.6823961772396416,1.0,0.001717002237136056,-0.6716163061469833,-0.0995889499750249,-0.6865846607070036,0.2970514481236943,0.5330519051957094,0.8052865065898014,0.7211511860734887
MSE,0.254960296364205,-0.1803592670339197,0.020491715446540635,0.001717002237136056,0.9999999999999998,-0.42287596571307307,0.3321999212640152,0.2663856097833484,-0.38153488370508104,0.22671967418809652,0.13185707587345993,0.2010850860663192
WD,-0.8251461139834277,0.41256089174881966,-0.5145602935996488,-0.6716163061469833,-0.42287596571307307,0.9999999999999999,-0.018580868629611825,0.33225163201017993,0.0739254063685432,-0.7496527240670888,-0.7886073226323747,-0.5738687120155083
KL,0.0043600644290607594,0.003082997140011357,0.031203621139193775,-0.0995889499750249,0.3321999212640152,-0.018580868629611825,0.9999999999999998,0.3669511255820559,-0.21833830987066172,-0.06699639407352753,-0.09225384686918764,0.13730897462131408
TSI,-0.33720894828643433,0.2018770185973444,-0.45178658732178867,-0.6865846607070036,0.2663856097833484,0.33225163201017993,0.3669511255820559,1.0,-0.45661288055589133,-0.2952728408792685,-0.5318603466722107,-0.3014331480888552
VAE,-0.13465957701226144,0.2773978933364736,0.20349157675412177,0.2970514481236943,-0.38153488370508104,0.0739254063685432,-0.21833830987066172,-0.45661288055589133,1.0,0.03951435773130587,0.24731121093652392,-0.06605625642145938
Hist_correlation,0.6585117974438282,-0.17861291544337088,0.42612988734878476,0.5330519051957094,0.22671967418809652,-0.7496527240670888,-0.06699639407352753,-0.2952728408792685,0.03951435773130587,1.0,0.834761030321758,0.3816985323943292
Hist_intersection,0.7095723143184824,-0.27088968040361033,0.5770831137132465,0.8052865065898014,0.13185707587345993,-0.7886073226323747,-0.09225384686918764,-0.5318603466722107,0.24731121093652392,0.834761030321758,1.0,0.5371980991100569
VIF,0.6793097612032056,-0.49223728199099237,0.657104176119195,0.7211511860734887,0.2010850860663192,-0.5738687120155083,0.13730897462131408,-0.3014331480888552,-0.06605625642145938,0.3816985323943292,0.5371980991100569,1.0
